h3,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
891e064db2bffff,0,2,4,2,4,2,5,6,6,7
891e064db2fffff,2,3,5,4,8,6,9,7,4,2
891e064db33ffff,0,1,3,1,1,1,0,1,1,1
891e064db37ffff,1,1,0,0,1,1,1,1,2,2
891e064db3bffff,0,1,1,0,1,3,4,1,1,2
891e064db43ffff,0,0,1,1,0,0,0,0,0,0
891e064db47ffff,1,1,0,2,2,2,2,1,0,0
891e064db4bffff,2,1,2,1,0,0,0,0,0,0
891e064db4fffff,1,2,3,3,0,1,0,1,0,1
891e064db53ffff,0,0,0,0,0,0,0,0,2,1
891e064db57ffff,0,0,0,0,0,0,0,0,0,0
891e064db5bffff,0,0,1,2,1,1,1,1,1,1
891e064db63ffff,0,0,0,0,0,0,0,0,0,0
891e064db67ffff,3,4,6,8,4,5,8,7,7,2
891e064db6bffff,0,0,0,0,1,2,3,2,1,0
891e064db6fffff,1,0,0,0,0,0,0,1,0,0
891e064db73ffff,1,2,0,1,1,1,1,1,0,0
891e064db77ffff,7,6,9,9,5,6,5,4,3,4
891e064db7bffff,0,0,0,0,0,0,0,0,0,0
891e064db83ffff,0,0,0,1,0,0,0,0,0,0
891e064db87ffff,0,0,0,0,0,0,0,0,0,0
891e064db8bffff,0,0,0,0,0,0,1,1,1,1
891e064db8fffff,0,0,1,0,0,0,0,0,0,0
891e064db93ffff,0,0,0,0,0,0,0,0,0,0
891e064db97ffff,0,0,0,0,0,0,0,0,0,0
891e064db9bffff,0,0,0,0,0,0,0,0,0,0
891e064dba3ffff,0,0,0,0,1,0,0,0,0,1
891e064dba7ffff,1,2,4,5,2,3,3,4,5,6
891e064dbabffff,2,1,3,2,5,0,0,0,0,0
891e064dbafffff,3,5,4,6,2,3,3,3,2,1
891e064dbb3ffff,0,0,0,0,1,1,2,3,2,0
891e064dbb7ffff,1,1,1,1,1,1,2,11,10,9
891e064dbbbffff,10,11,4,4,2,0,0,0,0,0
891e064dbc3ffff,1,0,1,0,0,1,1,1,1,0
891e064dbc7ffff,0,0,0,0,0,0,0,0,0,0
891e064dbcbffff,1,0,0,0,0,0,0,0,1,1
891e064dbcfffff,0,0,0,0,0,0,0,0,0,0
891e064dbd3ffff,0,0,0,0,0,0,0,0,0,0
891e064dbd7ffff,3,0,0,0,0,0,0,4,4,0
891e064dbdbffff,0,0,0,0,0,0,0,0,0,0
891e064dd23ffff,0,0,0,0,0,0,0,0,0,0
891e064dd27ffff,0,0,0,0,0,0,0,0,1,0
891e064dd2bffff,0,0,0,0,0,0,0,0,0,0
891e064dd2fffff,0,0,0,0,0,0,0,0,0,0
891e064dd4fffff,0,0,0,0,0,0,0,0,0,0
891e064dd63ffff,0,0,0,0,0,0,0,0,0,0
891e064dd67ffff,0,0,0,0,0,0,0,0,0,0
891e064dd6bffff,0,0,0,0,0,0,0,0,0,0
891e064dd6fffff,0,0,0,0,0,0,0,0,0,0
891e064dd77ffff,0,0,0,0,0,0,0,0,0,0
891e064dd7bffff,0,0,0,0,0,0,0,0,0,0
891e064de27ffff,0,0,0,0,0,0,0,0,0,0
891e064de2bffff,0,0,0,0,0,0,0,0,0,0
891e064de2fffff,0,0,0,0,0,0,0,0,0,0
891e064de67ffff,0,0,0,0,0,0,0,0,0,0
891e064de6bffff,0,0,0,0,0,0,1,0,0,0
891e064de6fffff,0,0,0,0,1,0,0,0,0,0
891e064de7bffff,0,0,0,0,0,0,0,0,0,0
891e064dea7ffff,0,0,0,0,0,0,0,0,0,0
891e064deafffff,0,0,0,0,0,0,0,0,0,0
891e0669043ffff,0,0,0,0,0,0,0,0,0,0
891e066904bffff,0,0,0,0,0,0,0,0,0,0
